depth,cali,gr,density,nphi,res,sonic
5669,9.5341,92.7117,2.3782,0.4514,-999.25,107.1414
5669.5,9.5342,97.0206,2.3729,0.4714,-999.25,108.8785
5670,9.5342,101.6181,2.3655,0.4801,-999.25,109.6336
5670.5,9.5342,100.1293,2.3663,0.4744,-999.25,109.1399
5671,9.5343,93.0744,2.366,0.4532,-999.25,107.3037
5671.5,9.5381,95.3595,2.3706,0.4512,-999.25,107.1311
5672,9.6332,101.0352,2.3735,0.439,-999.25,106.076
5672.5,9.6317,100.5662,2.359,0.447,-999.25,106.7651
5673,9.6319,98.6915,2.3284,0.4447,-999.25,106.5634
5673.5,9.6319,98.2247,2.3301,0.438,-999.25,105.9894
5674,9.6319,94.739,2.3463,0.4232,-999.25,104.7054
5674.5,9.6319,85.5626,2.3652,0.3917,-999.25,101.9722
5675,9.6319,85.6989,2.373,0.3682,-999.25,99.9426
5675.5,9.6319,90.28,2.3626,0.3743,-999.25,100.4644
5676,9.6319,94.6138,2.3561,0.4012,-999.25,102.7999
5676.5,9.6319,97.9282,2.3537,0.4085,-999.25,103.4317
5677,9.6317,95.7111,2.3496,0.4091,-999.25,103.4819
5677.5,9.6242,83.4234,2.357,0.4058,-999.25,103.1968
5678,9.5389,74.5664,2.3725,0.3734,-999.25,100.3937
5678.5,9.47,70.3543,2.3636,0.3217,-999.25,95.9163
5679,9.3354,60.1548,2.2878,0.2644,-999.25,90.9513
5679.5,9.23,43.025,2.1838,0.1764,-999.25,83.3281
5680,9.1965,35.7564,2.1618,0.1568,-999.25,81.6348
5680.5,9.242,33.8267,2.1757,0.1638,-999.25,82.2363
5681,9.2407,38.6448,2.1958,0.2128,-999.25,86.4839
5681.5,9.3216,49.564,2.228,0.2766,-999.25,92.0036
5682,9.2891,61.8102,2.2999,0.3187,-999.25,95.6556
5682.5,9.3403,78.7762,2.3531,0.3585,-999.25,99.1014
5683,9.339,87.6474,2.3399,0.4191,-999.25,104.3506
5683.5,9.339,86.8931,2.247,0.4108,-999.25,103.6296
5684,9.3384,85.0643,2.1807,0.3752,-999.25,100.5449
5684.5,9.3408,77.4435,2.2065,0.3496,-999.25,98.3256
5685,9.4382,63.3742,2.0792,0.302,-999.25,94.2042
5685.5,9.4364,56.3763,1.9867,0.2639,-999.25,90.9092
5686,9.4362,51.455,1.9451,0.2509,-999.25,89.7785
5686.5,9.4847,45.0844,1.9337,0.2432,-999.25,89.1136
5687,9.5324,39.9831,1.9532,0.2276,-999.25,87.7642
5687.5,9.6109,37.399,2.007,0.217,-999.25,86.8465
5688,9.6632,34.1046,2.1068,0.1962,-999.25,85.0481
5688.5,9.8308,30.6247,2.2196,0.1671,-999.25,82.5201
5689,9.9432,31.1411,2.2036,0.1685,-999.25,82.6436
5689.5,10.2206,32.7874,2.1541,0.1799,-999.25,83.6359
5690,10.216,32.3281,2.1346,0.1739,-999.25,83.1095
5690.5,10.32,33.7089,2.1358,0.1636,-999.25,82.2245
5691,10.2925,36.5593,2.1798,0.1729,-999.25,83.0288
5691.5,10.119,41.4529,2.2934,0.2058,-999.25,85.8792
5692,10.1236,52.9665,2.3379,0.2559,-999.25,90.2169
5692.5,9.8536,68.4411,2.3056,0.3429,-999.25,97.7532
5693,9.88,79.6828,2.3085,0.4091,-999.25,103.4781
5693.5,9.8255,82.798,2.3285,0.4337,-999.25,105.6096
5694,9.8285,82.3314,2.3366,0.4675,-999.25,108.5404
5694.5,9.7374,83.2025,2.3281,0.4559,-999.25,107.5323
5695,9.537,86.6878,2.3089,0.416,-999.25,104.0801
5695.5,9.5081,88.6664,2.3135,0.4001,-999.25,102.706
5696,9.5103,89.9431,2.3049,0.418,-999.25,104.2534
5696.5,9.4809,85.1844,2.3113,0.439,-999.25,106.0759
5697,9.3934,83.7408,2.332,0.4355,-999.25,105.7698
5697.5,9.4049,82.9875,2.3405,0.425,-999.25,104.8585
5698,9.3916,83.0813,2.3017,0.4165,-999.25,104.1204
5698.5,9.3386,79.4413,2.1967,0.3907,-999.25,101.8877
5699,9.339,76.2221,2.1149,0.3746,-999.25,100.4955
5699.5,9.3393,76.6389,2.19,0.3863,-999.25,101.5103
5700,9.3559,75.8769,2.2794,0.4104,-999.25,103.5945
5700.5,9.4376,77.8939,2.3444,0.3992,-999.25,102.6271
5701,9.4538,83.4684,2.3554,0.3712,-999.25,100.2013
5701.5,9.5352,85.8125,2.3704,0.3741,-999.25,100.4526
5702,9.5325,84.3314,2.3733,0.3868,-999.25,101.5552
5702.5,9.456,86.7441,2.3777,0.4145,-999.25,103.9488
5703,9.4368,92.8207,2.371,0.4386,-999.25,106.0398
5703.5,9.4591,90.9931,2.3613,0.4338,-999.25,105.6232
5704,9.4874,87.0141,2.3303,0.4091,-999.25,103.4795
5704.5,9.5455,77.3921,2.2413,0.3465,-999.25,98.0592
5705,9.4545,63.8542,2.1908,0.3205,-999.25,95.811
5705.5,9.5229,66.0436,2.2493,0.3042,-999.25,94.3992
5706,9.6323,70.3687,2.3314,0.3147,-999.25,95.3091
5706.5,9.6095,73.2218,2.3663,0.3328,-999.25,96.8748
5707,9.552,67.9305,2.3552,0.3266,-999.25,96.3381
5707.5,9.4653,60.9797,2.3396,0.3206,-999.25,95.8187
5708,9.2681,51.656,2.2246,0.3195,-999.25,95.7206
5708.5,9.3298,56.0205,2.0569,0.2913,-999.25,93.2774
5709,9.3868,71.0568,2.0739,0.2713,-999.25,91.5488
5709.5,9.4374,67.7281,2.2022,0.2834,-999.25,92.5996
5710,9.3144,50.8746,2.1847,0.3008,-999.25,94.1049
5710.5,9.3405,39.5903,2.0815,0.2653,-999.25,91.0248
5711,9.3388,37.8811,2.0551,0.2241,-999.25,87.4579
5711.5,9.3379,35.363,2.0624,0.2296,-999.25,87.9339
5712,9.3852,36.3493,2.0661,0.2412,-999.25,88.9449
5712.5,9.4372,38.6889,2.0659,0.251,-999.25,89.7868
5713,9.4675,39.0117,2.0697,0.2661,-999.25,91.0963
5713.5,9.5515,39.8009,2.0743,0.2713,-999.25,91.5472
5714,9.68,40.5905,2.078,0.2663,-999.25,91.1192
5714.5,9.5144,39.473,2.0874,0.2554,-999.25,90.1695
5715,9.274,40.6464,2.1034,0.2446,-999.25,89.2383
5715.5,9.3014,43.3278,2.1182,0.2482,-999.25,89.5508
5716,9.2945,43.7267,2.1257,0.2667,-999.25,91.1471
5716.5,9.2432,44.9997,2.1054,0.2885,-999.25,93.039
5717,9.2435,48.5587,2.1063,0.3039,-999.25,94.3711
5717.5,9.2676,60.9372,2.1743,0.3064,-999.25,94.5882
5718,9.2413,77.7051,2.2936,0.3415,-999.25,97.6294
5718.5,9.3588,86.784,2.3984,0.3807,-999.25,101.0243
5719,9.5434,84.4825,2.3746,0.3916,-999.25,101.9634
5719.5,9.6878,79.836,2.3609,0.3725,-999.25,100.3134
5720,9.7304,78.2817,2.3553,0.3569,-999.25,98.9586
5720.5,9.7287,79.3307,2.3542,0.3692,-999.25,100.025
5721,9.7664,72.5244,2.344,0.3819,-999.25,101.1281
5721.5,9.7986,72.558,2.3116,0.3528,-999.25,98.6043
5722,9.6261,71.9391,2.2797,0.3353,-999.25,97.093
5722.5,9.6762,72.5199,2.2934,0.334,-999.25,96.9822
5723,9.8313,71.6365,2.3289,0.3221,-999.25,95.9466
5723.5,9.8463,71.0004,2.3395,0.3166,-999.25,95.4722
5724,9.9912,68.0958,2.3241,0.3207,-999.25,95.8281
5724.5,10.0244,68.6338,2.3242,0.3339,-999.25,96.9714
5725,9.96,71.8555,2.3395,0.3276,-999.25,96.4241
5725.5,9.9238,70.5275,2.344,0.3286,-999.25,96.5111
5726,9.9232,61.9083,2.3496,0.3501,-999.25,98.3707
5726.5,9.6457,58.7395,2.355,0.4166,-999.25,104.1324
5727,9.5327,57.8955,2.3374,0.4159,-999.25,104.0719
5727.5,9.537,57.8961,2.3114,0.3711,-999.25,100.1941
5728,9.2672,59.5665,2.2071,0.3109,-999.25,94.974
