,Depth,Forest,Lasso,SGDRegressor,XGB,Original,Ols,Ridge
8713,9885.5,101.95178420319422,101.01068187858662,99.67237365996601,112.9682,121.24400000000003,110.80105280029122,104.90246074692834
8714,9886.0,101.62465519123582,101.6280582871948,100.09087764762032,111.66396,121.49240000000003,111.64734041476983,105.45103479741505
8715,9886.5,101.5339220832031,102.05911939638015,100.2429933299881,109.83685,121.57150000000003,112.25325898467081,105.72004401911212
8716,9887.0,101.5339220832031,102.0437999725841,100.13066586007614,108.86382,121.75209999999997,112.25057952861212,105.64155498554776
8717,9887.5,101.5339220832031,101.9807485072736,100.0469493505293,109.17965,122.08780000000004,112.25633909267239,105.59324083301132
8718,9888.0,101.51869912304038,102.69623976832987,100.44798733477819,109.022514,122.44700000000006,113.10880104628603,106.14373663458093
8719,9888.5,101.51869912304038,103.79088204375418,101.55160530050392,108.88672,122.41880000000003,114.44519505091215,107.32961558256422
8720,9889.0,101.51869912304038,104.38501802939068,102.38274577022383,109.83801,122.1789,115.01861923032698,108.09779946340183
8721,9889.5,101.60941876015087,105.2398199389884,103.17504807204554,112.015205,121.97139999999999,115.94388086018677,108.9435618878497
8722,9890.0,101.60941876015087,104.9613585534766,102.72779392884401,110.01981,122.36260000000003,115.61716799296079,108.53524087885263
8723,9890.5,101.60941876015087,103.59283500133247,101.67163128369843,109.902885,123.06619999999998,114.21726329030544,107.38482227844658
8724,9891.0,101.63740341844978,99.31044235559935,97.94605462143294,108.98994,122.58690000000004,109.34407016572527,103.24189407024666
8725,9891.5,101.63740341844978,98.1183456065353,103.9247252479419,110.20159,120.74179999999997,105.54248444417321,106.41863649431923
8726,9892.0,101.43156727050462,104.75066574230735,123.96181844623472,114.457756,120.87740000000004,109.06565740096192,121.59881767601038
8727,9892.5,101.41707031697324,112.19088213589225,135.27895654760488,112.47712,122.55740000000004,116.49950657894864,131.9121854166773
8728,9893.0,101.35719184365297,116.4918279943701,142.28523267108582,112.46289,123.58369999999998,120.72918861730868,138.1668113340596
8729,9893.5,101.37072248023634,119.52961646668655,151.76554217988442,111.48381,124.29509999999999,122.85640795795047,145.3381012208735
8730,9894.0,101.32258556715394,121.52921478404363,154.85959416384046,111.226974,125.89049999999999,125.09576178361621,148.2771674473576
8731,9894.5,101.34667393365952,122.88036392109072,156.12321593551292,111.39256,125.36139999999997,126.35740441521142,149.5510692762452
8732,9895.0,101.32258556715394,123.55586093750644,156.9070005979636,111.02124,123.55409999999999,126.49800657836656,150.04462812521473
8733,9895.5,101.28700243264146,123.29349782440009,156.58419536451103,111.35896,122.21960000000003,125.71092260078062,149.4886979318484
8734,9896.0,101.31392315370827,123.76749986382276,157.4705669294266,111.26974,121.41700000000002,125.97521555227118,150.13608316599644
8735,9896.5,101.37984184473811,125.89849918702078,160.61996812774237,111.87383,120.6405,127.81449938607773,152.8593707616159
8736,9897.0,101.36670434072744,126.87537471539326,163.6829029485002,111.43115,119.72260000000004,128.254695666063,155.00976991317458
8737,9897.5,101.35310336971287,122.80900905238919,156.99959951060848,110.94872,118.99879999999996,124.3403738291262,149.12572976287342
8738,9898.0,101.3708308901837,112.22686544704177,130.61241145533543,112.43681,119.47299999999996,116.88358817432653,128.7060514331588
8739,9898.5,101.36372320441563,103.82998795610486,112.96204134469322,108.190674,120.90329999999994,110.6132573304437,114.41143932156972
8740,9899.0,101.44039295062576,102.4352698228631,112.65891947124683,109.99785,121.56990000000002,108.9164193882664,113.69338075663444
8741,9899.5,101.40659936871712,103.83814961911042,113.8007601232011,109.13537,121.75079999999996,110.6578125880757,115.04571362594896
8742,9900.0,101.41353272406893,104.6076830877466,114.72089812500411,109.565636,122.44320000000005,111.845710286498,116.0915350686239
8743,9900.5,101.40373727626408,105.68865937916186,115.57777674457624,108.99141,123.08979999999998,113.32279720105356,117.17699662741497
8744,9901.0,101.35284214677961,108.14046308428013,116.4147670922519,108.24437,123.44270000000003,116.33063649378542,118.71170925030569
8745,9901.5,101.39885907767894,110.16720245526001,116.35481798603303,105.98616,124.06400000000001,119.13708107435701,119.54143491600175
8746,9902.0,101.35947192052969,110.8902332352134,116.29598529244322,106.43019,124.4103,120.18386014694164,119.82943690354256
8747,9902.5,101.3222638620239,111.75206123254937,116.93801777139933,106.08522,123.72240000000001,121.06923643636046,120.52470054420431
8748,9903.0,101.23924004438969,114.41586294744295,119.59722875173543,106.24921,122.63309999999998,123.67753760268799,123.17473172627477
8749,9903.5,101.20815358343619,117.60282388164323,122.96969664942085,106.127716,121.67560000000003,126.70685887296403,126.47128344103199
8750,9904.0,101.28477169697301,118.00727352942346,123.35479472094795,105.722786,120.86419999999997,126.9928073416799,126.80498884536308
8751,9904.5,101.2930554808172,117.96816077638589,121.26565458305072,105.52572,120.13530000000002,127.64209964968575,125.45304495880563
8752,9905.0,101.24946973631792,119.4630283260419,123.16309033137733,106.845055,119.50089999999997,128.97778996911833,127.18917361495613
8753,9905.5,101.23516528758293,122.22991933153179,129.87979397092892,107.599976,118.91959999999995,130.6057111895847,132.48083867382974
8754,9906.0,101.2536200757477,125.45103276389884,131.52173693568906,107.0795,118.2995,133.9991468483261,134.66373534753853
8755,9906.5,101.39495739883392,127.87239130441128,132.6651120724685,106.90246,117.79069999999997,136.89885356027025,136.33676557930613
8756,9907.0,101.29113700984206,129.91874747722468,134.4915868233785,105.41677,117.5091,139.33761069139072,138.35338003413466
8757,9907.5,101.23040929469889,129.36123711405588,132.2651859868402,104.10518,117.10350000000001,139.0125587497977,136.6278362355154
8758,9908.0,101.1921462827774,128.32063322453405,131.54846879907504,104.56064,116.297,137.63807423831963,135.6599933246455
8759,9908.5,101.28305739754273,126.37643947601204,130.010438176895,103.32485,115.47239999999998,134.9450232817099,133.72424007847854
8760,9909.0,101.32999494680575,123.63684746590438,129.20081165738767,106.49737,115.12430000000002,131.3005657095165,132.0454393017542
8761,9909.5,101.09939152737344,121.26907243452976,128.83737219933448,110.85572,114.99000000000002,128.04578983376726,130.7929399357049
